,COMMERCIAL_TEAM,COMMERCIAL_COUNTRY_NAME,PERIOD,Commercial_SUBREGION_DESC,COMMERCIAL_DISTRICT_DESCRIPTION,NET_QTY,COMMERCIAL_DISTRICT,REGION_DESCRIPTION,COMMERCIAL_SALES_TERRITORY_CODE,CROP,SALES_TC_FXACT,COMMERCIAL_AREA_DESCRIPTION,COMMERCIAL_AREA_CODE,COMMERCIAL_TEAM_DESCRIPTION,SURCHARGE,GROSS_SALES,MATERIAL_NBR,REGION_CODE,COMPANY_CODE,BASE_SALES,DISCOUNT,NET_SALES
0,CT7,Italy,2020.03,ITALY,CD-Italy,149.730966760523,CD-IT,EMEA,602.0,"BEAN, GARDEN",29536.45727081234,SOUTH EUROPE,CAW1,ITALY,1331.5476429956557,17698.469476672726,,1,3515.0,16366.921833677072,1427.180247865761,16271.289228806965
1,CT7,Italy,2020.03,ITALY,CD-Italy,628.9137203017079,CD-IT,EMEA,602.0,OTHER VEGETABLE SEED,18858.01177399747,SOUTH EUROPE,CAW1,ITALY,2937.5902589988928,18141.307758569943,,1,3515.0,15203.71749957105,2564.028564336391,15577.279194233552
2,CT52,Germany,2021.06,NW OPEN FIELD,CD-Germany-Openf,1576.427147492694,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,8647.129478230818,NORTH EUROPE,CAW2,NW OPEN FIELD,3107.940426250172,32893.53817070806,,1,3385.0,29785.597744457886,4587.631824383685,28305.906346324373
3,CT52,Germany,2022.12,NW OPEN FIELD,CD-Germany-Openf,1151.868824907866,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,-2252.22304731121,NORTH EUROPE,CAW2,NW OPEN FIELD,2498.6929820632313,20117.334269762297,,1,3385.0,17618.641287699065,3841.8637918986574,16275.47047786364
4,CT52,Netherlands,2021.07,NW OPEN FIELD,CD-Netherland-Openf,1076.568791219462,CD-NL-OPEN,EMEA,669.0,CARROT,27098.05074804156,NORTH EUROPE,CAW2,NW OPEN FIELD,1789.2551068548353,18492.631750460703,,1,3605.0,16703.37664360587,650.3199779863752,17842.311772474328
5,CT59,Iran,2022.1,IRAN,CD-Iran,2046.737949942476,CD-IR,EMEA,688.0,CARROT,13089.10957890514,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,4957.499153525071,29348.580022654758,,1,3605.0,24391.080869129688,4241.998726052898,25106.58129660186
6,CT59,Iran,2022.03,IRAN,CD-Iran,683.4705203311933,CD-IR,EMEA,688.0,SQUASH,13744.25964266752,"E-EUROPE, AFRICA & IRAN",CAE1,IRAN,3426.0824750585816,22345.659779859234,,1,3605.0,18919.577304800652,2672.224993285272,19673.434786573962
7,CT53,Kuwait,2020.02,MIDDLE EAST,CD-Kuwait,814.7123289274152,CD-KW,EMEA,656.0,TOMATO,35431.75634219404,"TURKEY, M-EAST & MAGHREB",CAE2,MIDDLE EAST & EGYPT,2066.2097574308223,20373.990754111837,,1,3605.0,18307.780996681016,3685.1869731030506,16688.803781008788
8,CT51,Netherlands,2021.09,EMEA GLASS,CD-Netherlands-Glass,208.0867175645832,CD-NL-GLAS,EMEA,663.0,TOMATO,26636.91941160169,NORTH EUROPE,CAW2,EMEA GLASS,4787.052490528476,33142.54051115607,,1,3605.0,28355.488020627592,4121.115022303504,29021.425488852565
9,CT52,Germany,2022.03,NW OPEN FIELD,CD-Germany-Openf,1775.678647463032,CD-DE-OPEN,EMEA,671.0,OTHER VEGETABLE SEED,-47.45088095693791,NORTH EUROPE,CAW2,NW OPEN FIELD,1589.3651971649683,15238.269823750843,,1,3385.0,13648.904626585874,2703.0653477067613,12535.204476044082
