period,material_number,country,region,region_description,crop,net_sales,gross_sales,base_sales,surcharge,discount,net_qty,commercial_team,company_code,commercial_team_description
2020-01-01,11947192,Canada,Americas,NAM,TOMATO,27579.234755822286,31513.949780036597,26460.63792273157,5053.311857305022,3934.715024214308,631.6916886437577,CT13,1318.0,US&CA
2022-01-01,12502640,Canada,Americas,NAM,SWEET CORN,21733.79759360697,26158.5071454628,22413.89772958033,3744.609415882465,4424.709551855824,24.50044375924546,CT13,1318.0,US&CA
2021-01-01,11947192,Canada,Americas,NAM,TOMATO,21977.807866286905,26782.343203420467,24435.429309558967,2346.913893861498,4804.535337133562,1198.988891811965,CT13,1318.0,US&CA
2021-01-01,12515444,USA,Americas,NAM,TOMATO,20650.46315329901,25154.17785919437,21646.39756124157,3507.780297952792,4503.714705895355,314.9821449653498,CT13,3605.0,US&CA
2022-01-01,10762610,USA,Americas,NAM,CUCUMBER,29129.764315241227,31347.95097635101,27138.62978635773,4209.321189993283,2218.186661109785,165.5668861373262,CT13,3605.0,US&CA
2022-01-01,11309206,Brazil,Americas,SAM,TOMATO,24544.224221338995,26914.035203755426,22901.79691707445,4012.238286680969,2369.810982416429,835.889557475633,CT35,4188.0,BRAZIL
2022-01-01,11309206,Argentina,Americas,SAM,TOMATO,23531.009451822018,29017.203299687004,25581.562466299576,3435.6408333874265,5486.193847864986,362.4162346060722,CT40,4054.0,LAS
2020-01-01,10845540,Chile,Americas,SAM,OTHER VEGETABLE SEED,20595.64443320866,26373.834758473367,23909.40684059228,2464.4279178810866,5778.190325264704,1092.333482204865,CT40,4206.0,LAS
2020-01-01,10795521,USA,Americas,NAM,TOMATO,14273.186585869724,15753.050242765888,13601.424342941318,2151.625899824568,1479.863656896163,1937.165559588099,CT13,3605.0,US&CA
2022-01-01,11243928,USA,Americas,NAM,TOMATO,22614.75711781303,26549.32712170779,22514.82270173297,4034.5044199748186,3934.5700038947584,752.7349637336494,CT13,3605.0,US&CA
2020-01-01,11309206,Brazil,Americas,SAM,TOMATO,13874.231463195692,16020.47124015936,14436.521688781708,1583.9495513776526,2146.2397769636686,475.1037650646798,CT35,4188.0,BRAZIL
2021-01-01,11789149,Argentina,Americas,SAM,"BEAN, GARDEN",17041.579458584063,19256.04687350539,17518.344855890893,1737.7020176144963,2214.467414921329,1029.408103760437,CT40,4054.0,LAS
2021-01-01,12101790,Brazil,Americas,SAM,TOMATO,11090.183640341662,15157.284837359675,13905.694231958238,1251.5906054014397,4067.101197018015,778.294084042716,CT35,4188.0,BRAZIL
2021-01-01,11789149,Argentina,Americas,SAM,"BEAN, GARDEN",18443.129346972524,22665.447775582943,21156.275750223904,1509.1720253590386,4222.318428610419,489.4355635432526,CT40,4054.0,LAS
2021-01-01,11789149,Argentina,Americas,SAM,"BEAN, GARDEN",25249.085570233023,31317.387117968097,27313.10862893403,4004.2784890340654,6068.301547735072,581.6545044736583,CT40,4054.0,LAS
2021-01-01,11637908,USA,Americas,NAM,CUCUMBER,22973.60201435921,25928.279513963746,22275.58574303422,3652.693770929528,2954.677499604536,463.7169627716971,CT13,3605.0,US&CA
2022-01-01,10778742,Mexico,Americas,NAM,OTHER VEGETABLE SEED,27276.383078075352,34183.17636937135,29890.69853434317,4292.477835028179,6906.793291295998,607.8317607370523,CT14,4568.0,MX&CACAR
2021-01-01,12101790,Brazil,Americas,SAM,TOMATO,21635.26885365411,24956.677697431707,22526.079249479637,2430.598447952075,3321.4088437775986,1665.019692801799,CT35,4188.0,BRAZIL
2020-01-01,11789149,Argentina,Americas,SAM,"BEAN, GARDEN",21867.860155709284,24545.192765418877,20957.8250113967,3587.367754022171,2677.3326097095905,19.95811834636748,CT40,4054.0,LAS
2020-01-01,10924351,Argentina,Americas,SAM,OTHER VEGETABLE SEED,10276.704713112264,13308.94336175549,11428.662618684391,1880.2807430710968,3032.238648643225,521.6100623353803,CT40,4054.0,LAS
2020-01-01,11789149,Argentina,Americas,SAM,"BEAN, GARDEN",16527.19027078276,20548.17344284481,17516.741571933213,3031.431870911598,4020.983172062048,605.3976843928428,CT40,4054.0,LAS
2020-01-01,10845540,Chile,Americas,SAM,OTHER VEGETABLE SEED,13782.583510032557,15537.520551228768,14014.238007875992,1523.2825433527755,1754.937041196212,1405.908130191962,CT40,4206.0,LAS
2020-01-01,10924351,Ecuador,Americas,SAM,OTHER VEGETABLE SEED,17213.046904876275,20563.003309575583,17585.349333107184,2977.6539764683976,3349.956404699306,151.8260749542562,CT32,4206.0,ANDEAN NORTH
2021-01-01,11789149,Argentina,Americas,SAM,"BEAN, GARDEN",22396.12172777368,26314.9694587511,23371.11152655101,2943.857932200093,3918.847730977423,1028.59473798997,CT40,4054.0,LAS
2020-01-01,10906993,Argentina,Americas,SAM,LETTUCE,15984.041163174295,19996.141770108283,17874.67552637739,2121.466243730895,4012.1006069339874,508.7196593137759,CT40,4054.0,LAS
2021-01-01,11309206,Brazil,Americas,SAM,TOMATO,18000.627557105,21168.496515028903,18713.75439597018,2454.742119058721,3167.868957923904,1397.145708702831,CT35,4188.0,BRAZIL
2020-01-01,10785506,USA,Americas,NAM,TOMATO,28131.18945629547,33877.25399014389,29767.099998405123,4110.1539917387645,5746.064533848419,1646.447547234143,CT13,3605.0,US&CA
2020-01-01,10810794,Mexico,Americas,NAM,LETTUCE,26412.89848818736,30833.910811224003,26564.395181267177,4269.515629956826,4421.01232303664,881.8155629904167,CT14,4570.0,MX&CACAR
2022-01-01,10845540,Dominican Rep.,Americas,NAM,OTHER VEGETABLE SEED,19770.671361907884,24031.98908798372,22050.324293106765,1981.6647948769555,4261.3177260758375,532.5719093098239,CT14,5183.0,MX&CACAR
2020-01-01,10904838,"Trinidad,Tobago",Americas,NAM,PEPPER,10485.736236979965,12565.679892381962,10634.219884817365,1931.460007564598,2079.943655401999,823.0797120100934,CT14,5183.0,MX&CACAR
2021-01-01,11477164,USA,Americas,NAM,SPINACH,12501.665976803257,16147.805442974612,14501.635724962567,1646.1697180120464,3646.1394661713575,87.6774021432849,CT13,5183.0,US&CA
2022-01-01,10784450,USA,Americas,NAM,PEPPER,20672.983345397515,25458.321422069435,21281.693744393007,4176.62767767643,4785.338076671919,443.169069892889,CT13,5183.0,US&CA
2020-01-01,11477164,USA,Americas,NAM,SPINACH,12655.003593233016,14641.299057756883,12982.185068285538,1659.1139894713458,1986.2954645238676,1472.845586277277,CT13,5183.0,US&CA
2020-01-01,10784450,USA,Americas,NAM,PEPPER,10475.89640354288,12524.98580701851,11024.104170578446,1500.8816364400634,2049.0894034756293,798.1337645382067,CT13,5183.0,US&CA
2022-01-01,10789139,USA,Americas,NAM,PEPPER,21821.04496647953,27019.23955727452,24038.160207958663,2981.079349315853,5198.19459079499,236.3994030665014,CT13,5183.0,US&CA
2021-01-01,10915589,USA,Americas,NAM,"BEAN, GARDEN",16524.849280359624,17844.652376027974,15335.74832131438,2508.904054713597,1319.8030956683492,199.6935258550605,CT13,5183.0,US&CA
2021-01-01,10765440,USA,Americas,NAM,PEPPER,19322.887799836382,22532.041097869707,19216.7420457812,3315.299052088505,3209.153298033324,1691.615477161845,CT13,5183.0,US&CA
2021-01-01,10937961,USA,Americas,NAM,OTHER VEGETABLE SEED,17453.688992392817,20582.91247404472,17830.804211598785,2752.108262445935,3129.2234816519017,1779.211280474318,CT13,5183.0,US&CA
2021-01-01,11067240,USA,Americas,NAM,PEPPER,30145.940722428248,32465.96186177431,27912.62819028509,4553.333671489221,2320.0211393460627,448.6603208117247,CT13,5183.0,US&CA
2020-01-01,11477164,USA,Americas,NAM,SPINACH,10188.892808537925,13092.821833735945,11324.01085396437,1768.8109797715729,2903.92902519802,2172.307048296905,CT13,5183.0,US&CA
