year,material_number,country,region,commercial_team,company_code,commercial_team_description,commercial_subregion_desc,crop,region_description,yearly_net_sales,yearly_gross_sales,yearly_base_sales,yearly_surcharge,yearly_discount,yearly_net_qty,forecasted_sales
2020,10757568,USA,Americas,CT13,5183.0,US&CA,NAM NORTH EAST,SQUASH,NAM,15263.089886614736,18271.18526161724,16390.757918181072,1880.4273434361628,3008.095375002499,406.65565972693,33554.50301392301
2020,10757585,Iran,EMEA,CT59,3605.0,IRAN,IRAN,MELON,EMEA,14877.512653665231,17439.03424616622,15108.983638615442,2330.050607550777,2561.5215925009875,2153.685427313315,
2020,10757625,Italy,EMEA,CT7,3515.0,ITALY,ITALY,SQUASH,EMEA,85251.42290338194,97532.12156861574,83887.3587402942,13644.76282832153,12280.6986652338,3699.4983513560824,30189.88288809233
2020,10757694,Argentina,Americas,CT40,4054.0,LAS,LAS,EGGPLANT,SAM,35355.38847565468,41007.54369535242,36153.36166647672,4854.182028875697,5652.155219697731,306.1498140912155,36802.344471572505
2020,10757694,Russian Fed.,EMEA,CT56,3605.0,E-EUROPE & ISRAEL,RUSSIA & UKRAINE,EGGPLANT,EMEA,37730.64678745708,45065.284486289456,41072.00967541998,3993.2748108694786,7334.6376988323755,1665.12270569347,31746.186442747166
2020,10757707,Australia,Asia,CT17,1059.0,AUSTRALIA/NEW ZEALAND,AUSTRALIA&NEW ZEALAND,PEPPER,ANZ,48813.97055364153,58431.53990867071,51576.44958779234,6855.090320878369,9617.569355029173,862.985989326161,
2020,10757707,Australia,Asia,CT17,1059.0,AUSTRALIA/NEW ZEALAND,AUSTRALIA/NEW ZEALAND,PEPPER,ANZ,210356.19336355425,250874.47083957202,219287.54515593074,31586.92568364129,40518.277476017785,7844.468774508276,22232.846764083155
2020,10757709,France,EMEA,CT51,3354.0,EMEA GLASS,EMEA GLASS,TOMATO,EMEA,23918.547686527243,26646.21081338439,23298.514524702037,3347.6962886823567,2727.663126857147,1581.508023358498,29772.75072736392
2020,10757709,Italy,EMEA,CT7,3515.0,ITALY,ITALY,TOMATO,EMEA,47041.66908828456,56526.069325109405,49120.279636348016,7405.789688761386,9484.400236824851,5497.812028651266,25522.26669733058
2020,10757709,USA,Americas,CT13,5183.0,US&CA,NAM NORTH EAST,TOMATO,NAM,20877.43719207524,27048.41803792932,24052.90407835268,2995.5139595766427,6170.980845854079,867.8089225982485,23027.76431890876
2020,10757711,Italy,EMEA,CT7,3515.0,ITALY,ITALY,TOMATO,EMEA,99083.16554136274,120781.57544445842,104536.78761092042,16244.787833537983,21698.40990309567,7683.752319344864,39171.69510245354
2020,10757711,Russian Fed.,EMEA,CT56,3605.0,E-EUROPE & ISRAEL,RUSSIA & UKRAINE,TOMATO,EMEA,13017.206484778162,16581.850366179595,14271.324342144246,2310.526024035348,3564.6438814014336,1860.337005936111,26279.43124566015
2020,10757711,Ukraine,EMEA,CT56,3605.0,E-EUROPE & ISRAEL,RUSSIA & UKRAINE,TOMATO,EMEA,17829.790687937137,20002.88487985205,18195.947120161654,1806.9377596903917,2173.09419191491,48.04389093779326,26925.68015381882
2020,10757712,Albania,EMEA,CT56,3605.0,E-EUROPE & ISRAEL,CENTRAL EUROPE & BALKANS,TOMATO,EMEA,13478.3634870527,17581.44354699846,15815.1465464726,1766.2970005258587,4103.08005994576,215.3291636061967,20720.57717990012
2020,10757712,Brazil,Americas,CT35,4188.0,BRAZIL,BRAZIL,TOMATO,SAM,65239.636118450406,75966.55217700245,67494.08974153615,8472.462435466292,10726.916058552044,2021.9422220148924,31432.037797716494
2020,10757712,Italy,EMEA,CT7,3515.0,ITALY,ITALY,TOMATO,EMEA,257000.7070125745,297696.57451143104,261570.95276795834,36125.62174347266,40695.86749885647,17652.174266035934,34745.0795515424
2020,10757712,Spain,EMEA,CT5,3781.0,IBERICA,IBERICA,TOMATO,EMEA,427531.67861821345,498392.6040849433,435847.0440459892,62545.560038954056,70860.92546672987,17449.39203879734,25978.610506949837
2020,10757714,Spain,EMEA,CT5,3781.0,IBERICA,IBERICA,TOMATO,EMEA,139220.09294929003,168814.1444922565,144286.7486537734,24527.395838483128,29594.0515429665,5975.330344690692,32441.28826613399
2020,10757715,Argentina,Americas,CT40,4054.0,LAS,LAS,TOMATO,SAM,60783.05637974925,72230.19473689534,62210.0776243036,10020.117112591739,11447.138357146101,2317.1098166271695,
2020,10757715,Palestinian Ter,EMEA,CT53,3605.0,MIDDLE EAST & EGYPT,MIDDLE EAST,TOMATO,EMEA,21726.187763812428,25226.02574298957,21860.642659073237,3365.3830839163365,3499.837979177145,139.6603380498597,35670.73666306221
2020,10757824,India,Asia,CT29,1266.0,INDIA,INDIA,CABBAGE,SA & SEA,75576.13962932209,87407.25649452691,76046.41906032272,11360.83743420418,11831.116865204824,3917.2898471032904,36576.64677687625
2020,10757896,Argentina,Americas,CT40,4054.0,LAS,LAS,CABBAGE,SAM,157370.74055266642,182075.88421785238,157112.3954669739,24963.488750878503,24705.143665185948,7865.769279402939,21304.664293994505
2020,10757896,Brazil,Americas,CT35,4188.0,BRAZIL,BRAZIL,CABBAGE,SAM,213930.07499840303,250149.2033751667,219611.3147993448,30537.888575821882,36219.12837676371,12296.641547092759,31551.362498973343
2020,10757896,Kuwait,EMEA,CT53,3605.0,MIDDLE EAST & EGYPT,MIDDLE EAST,CABBAGE,EMEA,15289.598659195732,17028.70394124964,14870.906005377205,2157.7979358724383,1739.1052820539103,18.28588136460291,
2020,10757896,Russian Fed.,EMEA,CT56,3605.0,E-EUROPE & ISRAEL,RUSSIA & UKRAINE,CABBAGE,EMEA,27433.44158545642,30604.97338441488,26451.522342723096,4153.451041691779,3171.531798958453,849.6597068363466,35408.22116168607
2020,10757896,Serbia,EMEA,CT56,3605.0,E-EUROPE & ISRAEL,CENTRAL EUROPE & BALKANS,CABBAGE,EMEA,19053.113661033974,22957.990535190587,20395.75191614645,2562.238619044136,3904.87687415661,932.4098700128628,38108.15449493245
2020,10757896,USA,Americas,CT13,5183.0,US&CA,NAM NORTH EAST,CABBAGE,NAM,23654.065115982485,26740.75714594243,23207.863870634654,3532.8932753077743,3086.692029959945,1527.597325807962,39194.87823925618
2020,10757939,New Zealand,Asia,CT17,1505.0,AUSTRALIA/NEW ZEALAND,AUSTRALIA/NEW ZEALAND,CUCUMBER,ANZ,81304.62910902526,96348.44699252854,83564.10861317434,12784.338379354209,15043.817883503289,2405.7039365540923,31205.357474060707
2020,10758692,New Zealand,Asia,CT17,1505.0,AUSTRALIA/NEW ZEALAND,AUSTRALIA/NEW ZEALAND,TOMATO,ANZ,9796.24745732111,11619.61216083956,10264.7995218597,1354.812638979855,1823.364703518449,1732.742144952934,26590.20360608417
2020,10758972,Poland,EMEA,CT51,3655.0,EMEA GLASS,EMEA GLASS,TOMATO,EMEA,25255.227046615248,27917.13584706209,24600.99353412489,3316.142312937206,2661.908800446843,20.6996876312665,34668.69248933496
2020,10759065,Australia,Asia,CT17,1059.0,AUSTRALIA/NEW ZEALAND,AUSTRALIA&NEW ZEALAND,TOMATO,ANZ,12411.59519816632,16384.50050486573,13820.53195028534,2563.968554580397,3972.905306699413,1017.420940263036,
2020,10759469,Italy,EMEA,CT7,3515.0,ITALY,ITALY,TOMATO,EMEA,14849.577328151268,16261.46984397222,14363.13399049187,1898.3358534803504,1411.8925158209508,493.8684066484479,38377.22159914262
2020,10759628,Poland,EMEA,CT52,3655.0,NW OPEN FIELD,NW OPEN FIELD,PEPPER,EMEA,10259.91176057442,12017.912497351124,10324.077719841074,1693.8347775100506,1758.000736776704,535.6041536502064,37578.18000845245
2020,10759628,USA,Americas,CT13,5183.0,US&CA,HOME GARDEN,PEPPER,NAM,15278.70558403675,19027.85055884057,16869.089720239095,2158.7608386014767,3749.144974803821,1660.433458163623,21095.483586877606
2020,10759628,USA,Americas,CT13,5183.0,US&CA,NAM NORTH EAST,PEPPER,NAM,39626.112223424934,46465.49980611936,41906.86222409896,4558.637582020399,6839.387582694426,215.01235784776378,24904.015317240028
2020,10759949,USA,Americas,CT13,5183.0,US&CA,NAM NORTH EAST,SQUASH,NAM,11058.923142539956,13166.225707646274,11599.797289866608,1566.428417779665,2107.302565106319,1809.004230775239,33318.210424712874
2020,10760283,China,Asia,CT25,5183.0,CHINA,CHINA,OTHER VEGETABLE SEED,NORTH ASIA,38214.96414277934,46031.88101400112,41128.08727492395,4903.7937390771785,7816.916871221786,1987.1404686911228,
2020,10760300,USA,Americas,CT13,5183.0,US&CA,NAM WEST,BROCCOLI,NAM,54166.72216820256,63203.783306909114,54857.87845607594,8345.904850833165,9037.061138706546,2726.8220695233176,28981.79124741042
2020,10760778,Mexico,Americas,CT14,4570.0,MX&CACAR,MEXICO SOUTH,LETTUCE,NAM,19836.50979732485,23255.533839998512,20053.44093724137,3202.092902757142,3419.02404267366,1099.272421180406,23803.622456686237
2020,10761038,Brazil,Americas,CT35,4188.0,BRAZIL,BRAZIL,LETTUCE,SAM,21972.80283426435,25296.2251361004,21785.888482125956,3510.3366539744447,3323.4223018360512,989.7280414985617,20128.658927306667
2020,10761100,Chile,Americas,CT40,4206.0,LAS,LAS,BROCCOLI,SAM,26047.87991944377,30315.00725807424,26322.516578269355,3992.490679804888,4267.127338630466,954.4082417395794,36023.72358907069
2020,10761100,USA,Americas,CT13,5183.0,US&CA,NAM WEST,BROCCOLI,NAM,129638.98921879161,151195.55182537012,131550.4990459277,19645.052779442427,21556.562606578518,7312.819829580723,32674.247610699884
2020,10761105,USA,Americas,CT13,5183.0,US&CA,HOME GARDEN,WATERMELON,NAM,14005.412068625414,17847.05183970447,15586.376382459326,2260.6754572451428,3841.639771079056,1152.91154582853,29795.844628540723
2020,10761120,Ukraine,EMEA,CT56,3605.0,E-EUROPE & ISRAEL,RUSSIA & UKRAINE,TOMATO,EMEA,23632.48205484324,26999.91439122114,23546.176919644982,3453.737471576158,3367.4323363779044,742.4497564986826,24212.699812861072
2020,10761204,India,Asia,CT29,1266.0,INDIA,INDIA,EGGPLANT,SA & SEA,119734.33108240031,145683.2529005075,125435.54400424787,20247.708896259603,25948.921818107174,8631.830510509652,36166.78370117252
2020,10761349,Italy,EMEA,CT7,3515.0,ITALY,ITALY,TOMATO,EMEA,43104.76015494259,50430.26263898338,45094.7753245965,5335.487314386881,7325.5024840407905,940.0822317925489,32013.568498850484
2020,10761831,USA,Americas,CT13,5183.0,US&CA,NAM NORTH EAST,TOMATO,NAM,17149.680090707356,19350.678932221752,16740.046116720187,2610.6328155015667,2200.998841514396,1129.846301614267,22039.32595586536
2020,10761865,Canada,Americas,CT13,5183.0,US&CA,NAM NORTH EAST,CUCUMBER,NAM,14898.011393510971,17163.194773296782,15857.654627950562,1305.5401453462189,2265.18337978581,1737.497166849428,37037.906127374095
2020,10761865,Chile,Americas,CT40,4206.0,LAS,LAS,CUCUMBER,SAM,23644.03040986861,28760.75142016387,24616.58250674667,4144.168913417203,5116.721010295255,1690.0013785854376,37673.61956961175
2020,10761865,"Trinidad,Tobago",Americas,CT14,5183.0,MX&CACAR,CA/CARIBBEAN,CUCUMBER,NAM,15839.153245075331,18237.775487443105,15737.33402444942,2500.4414629936823,2398.622242367773,1984.799468477528,20988.32402057753
